title,body,responsavel,area,status,priority,due_date,labels
"Definir area piloto do MVP","Escolher a primeira area de concursos que sera usada no MVP, como area administrativa, tribunais, universidades ou concursos municipais.","Coordenador","Planejamento","Todo","Alta","","planejamento,mvp,prioridade:alta"
"Selecionar primeiros editais","Selecionar de 5 a 10 editais reais para montar a base piloto do projeto.","Coordenador","Dados","Todo","Alta","","dados,editais,prioridade:alta"
"Cadastrar editais iniciais","Preencher data/editais.csv com os primeiros editais reais selecionados.","Coordenador","Dados","Todo","Alta","","dados,editais,mvp"
"Cadastrar cargos iniciais","Preencher data/cargos.csv com cargos dos editais piloto.","Coordenador","Dados","Todo","Alta","","dados,cargos,mvp"
"Extrair conteudos programaticos","Extrair disciplinas e assuntos dos editais piloto para data/assuntos.csv e data/conteudos_cargo.csv.","Coordenador","Dados","Todo","Alta","","dados,conteudos,prioridade:alta"
"Revisar normalizacao de assuntos","Conferir se assuntos equivalentes foram agrupados corretamente em texto_normalizado.","Coordenador","Dados","Todo","Alta","","normalizacao,dados,prioridade:alta"
"Testar comparacao entre cargos","Rodar scripts/compare_editais.py com cargos reais e validar resultado de similaridade.","Tecnico","Scripts","Todo","Media","","scripts,comparacao"
"Testar relatorio do estudante","Rodar scripts/student_report.py com dados de exemplo e validar percentual estudado, pendencias e revisoes.","Tecnico","Scripts","Todo","Media","","scripts,relatorio"
"Melhorar script de extracao de PDF","Implementar primeira versao de scripts/extract_pdf_content.py para extrair texto dos editais em PDF.","Tecnico","Scripts","Todo","Media","","scripts,pdf,extracao"
"Documentar modelo de dados","Revisar docs/modelo_dados.md com entidades finais do MVP.","Coordenador","Documentacao","Todo","Media","","documentacao,dados"
"Documentar fontes de dados","Manter docs/fontes_dados.md atualizado com fontes oficiais, bancas e portais auxiliares.","Coordenador","Documentacao","Done","Media","","documentacao,fontes"
"Documentar arquitetura inicial","Manter docs/arquitetura.md atualizado com fluxo de coleta, extracao, normalizacao, comparacao e relatorio.","Coordenador","Documentacao","Done","Media","","documentacao,arquitetura"
"Preparar briefing do MVP","Revisar mvp/briefing_mvp.md e alinhar escopo da primeira versao.","Coordenador","MVP","Done","Alta","","mvp,documentacao"
"Preparar requisitos do MVP","Revisar mvp/requisitos_mvp.md com funcionalidades, telas e criterios de aceite.","Coordenador","MVP","Done","Alta","","mvp,requisitos"
"Criar prototipo da pagina inicial","Criar primeira tela do MVP com proposta de valor, problema, solucao e chamada para comparar editais.","Responsavel MVP","MVP","Todo","Alta","","mvp,frontend,prioridade:alta"
"Criar tela de lista de editais","Criar interface para listar e filtrar editais por area, cargo, banca, estado e ano.","Responsavel MVP","MVP","Todo","Alta","","mvp,frontend,editais"
"Criar tela de detalhe do edital","Criar tela para mostrar cargos, salarios, disciplinas, assuntos e fonte oficial do edital.","Responsavel MVP","MVP","Todo","Media","","mvp,frontend,editais"
"Criar tela de comparacao","Criar tela para selecionar dois cargos ou editais e mostrar conteudos em comum e exclusivos.","Responsavel MVP","MVP","Todo","Alta","","mvp,frontend,comparacao"
"Criar checklist de estudo","Criar interface para o usuario marcar assunto como estudado, estudando, revisar, dificuldade ou nao estudado.","Responsavel MVP","MVP","Todo","Alta","","mvp,frontend,estudos"
"Criar relatorio de aproveitamento","Criar tela de relatorio com percentual estudado, assuntos pendentes, revisoes e recomendacao simples.","Responsavel MVP","MVP","Todo","Alta","","mvp,frontend,relatorio"
"Publicar MVP","Publicar a primeira versao do MVP em Vercel, Netlify ou GitHub Pages.","Responsavel MVP","MVP","Todo","Alta","","mvp,deploy,prioridade:alta"
"Criar formulario de validacao","Transformar validation/formulario_validacao.md em Google Forms, Tally ou Typeform.","Responsavel Validacao","Validacao","Todo","Alta","","validacao,formulario"
"Coletar respostas de estudantes","Coletar pelo menos 20 respostas de estudantes de concurso publico.","Responsavel Validacao","Validacao","Todo","Alta","","validacao,usuarios"
"Entrevistar professores e mentores","Coletar feedback de professores, mentores ou donos de cursinho.","Responsavel Validacao","Validacao","Todo","Media","","validacao,parceiros"
"Preencher resumo de validacao","Atualizar validation/resumo_validacao.md com dados, dores, interesse e frases dos entrevistados.","Responsavel Validacao","Validacao","Todo","Alta","","validacao,relatorio"
"Atualizar proposta completa","Atualizar proposal/proposta_completa.md com dados reais do MVP e da validacao.","Coordenador","Proposta","Todo","Alta","","proposta,edital"
"Adaptar textos para edital real","Ajustar proposal/textos_plataforma.md conforme campos e limites do edital escolhido.","Coordenador","Proposta","Todo","Alta","","proposta,submissao"
"Preparar fundamentacao teorica","Preencher proposal/fundamentacao_teorica.md com dados sobre mercado de concursos, educacao e tecnologia.","Coordenador","Proposta","Todo","Media","","proposta,fundamentacao"
"Organizar documentos de submissao","Preencher documents/checklist_documentos.md com documentos exigidos pelo edital escolhido.","Coordenador","Documentos","Todo","Media","","documentos,submissao"
"Atualizar checklist pre-submissao","Atualizar management/checklist_pre_submissao.md com responsaveis, status e pendencias finais.","Coordenador","Gestao","Todo","Media","","gestao,submissao"
"Preparar roteiro de pitch","Preencher pitch/roteiro_pitch.md com narrativa, problema, solucao, mercado, MVP e modelo de negocio.","Coordenador","Pitch","Todo","Media","","pitch"
"Preparar storytelling","Preencher pitch/storytelling.md com narrativa simples e impacto para estudantes de concurso.","Coordenador","Pitch","Todo","Media","","pitch,storytelling"
"Revisar README geral","Atualizar README.md com status do MVP, dados piloto, validacao e link publicado.","Coordenador","Documentacao","Todo","Media","","readme,documentacao"
